datetime	alt	PRESSURE	AIR_TEMP	RAINFALL	MIXDEPTH	RELHUMID
05/15/10 07:00:00	10	996	285.6	0	361	90.5
05/15/10 07:00:00	100	984.9	285	0	360.4	92.9
05/15/10 07:00:00	500	937.7	285.1	0	358.6	82.2
05/15/10 08:00:00	10	995.3	285.6	0	332.3	92.2
05/15/10 08:00:00	100	984.2	285.1	0	331	94.4
05/15/10 08:00:00	500	937.2	285.7	0	327.5	84.8
05/15/10 09:00:00	10	994.7	285.7	0	303.6	93.9
05/15/10 09:00:00	100	983.5	285.2	0	301.6	95.9
05/15/10 09:00:00	500	936.6	286.3	0	296.6	87.3
05/15/10 10:00:00	10	994.6	285.8	0	298.8	94
05/15/10 10:00:00	100	983.4	285.2	0	297.6	95.9
05/15/10 10:00:00	500	936.8	286.2	0	293.7	86.8
05/15/10 11:00:00	10	994.6	285.8	0	298.9	93.8
05/15/10 11:00:00	100	983.5	285.2	0	298.5	95.5
05/15/10 11:00:00	500	937	286	0	296	85.6
05/15/10 12:00:00	10	994.6	285.9	0	299	93.7
05/15/10 12:00:00	100	983.7	285.1	0	299.4	95.2
05/15/10 12:00:00	500	937.3	285.8	0	298.3	84.5
05/15/10 13:00:00	10	994.7	286.8	0	323	90.7
05/15/10 13:00:00	100	983.8	285.7	0	322.9	92.9
05/15/10 13:00:00	500	937.1	285.8	0	321.4	81.2
05/15/10 14:00:00	10	994.9	287.9	0	351.6	87.1
05/15/10 14:00:00	100	983.9	286.5	0	351.3	90.1
05/15/10 14:00:00	500	936.9	285.8	0	350.1	77.5
05/15/10 15:00:00	10	995	289	0	380.2	83.6
05/15/10 15:00:00	100	984	287.3	0	380.1	87.4
05/15/10 15:00:00	500	936.7	285.8	0	379.8	73.8
05/15/10 16:00:00	10	995.4	290.2	0	446.5	81.2
05/15/10 16:00:00	100	984.8	288.4	0	447.5	85.6
05/15/10 16:00:00	500	937.6	286.2	0	450.4	77.4
05/15/10 17:00:00	10	995.9	291.5	0	519.4	79.1
05/15/10 17:00:00	100	985.5	289.6	0	521.6	84.1
05/15/10 17:00:00	500	938.5	286.6	0	528	82.3
05/15/10 18:00:00	10	996.3	292.8	0	591.2	77.1
05/15/10 18:00:00	100	986.3	290.8	0	594.5	82.6
05/15/10 18:00:00	500	939.4	287.1	0	604.7	87.1
05/15/10 19:00:00	10	996.3	292.4	0	539.2	78.5
05/15/10 19:00:00	100	986.6	290.6	0	541.7	83.7
05/15/10 19:00:00	500	939.5	287.3	0	550.4	89.4
05/15/10 20:00:00	10	996.2	291.8	0	464.3	80.5
05/15/10 20:00:00	100	986.7	290	0	465.7	85.4
05/15/10 20:00:00	500	939.4	287.5	0	471.6	91.2
05/15/10 21:00:00	10	996.1	291.2	0	391	82.4
05/15/10 21:00:00	100	986.9	289.5	0	391.4	87
05/15/10 21:00:00	500	939.3	287.8	0	394.2	93
05/15/10 22:00:00	10	995.6	290.7	0.1	375.8	83.2
05/15/10 22:00:00	100	986.1	289.1	0.1	376.2	87.1
05/15/10 22:00:00	500	938.9	287.8	0.1	379	89.9
05/15/10 23:00:00	10	995.1	290.2	0.1	372.6	83.8
05/15/10 23:00:00	100	985.3	288.7	0.1	372.8	86.7
05/15/10 23:00:00	500	938.5	287.9	0.1	375.7	85.9
05/16/10 00:00:00	10	994.6	289.6	0.1	370	84.5
05/16/10 00:00:00	100	984.6	288.3	0.1	369.9	86.3
05/16/10 00:00:00	500	938.1	287.9	0.1	372.1	82
05/16/10 01:00:00	10	994.6	288.8	0.1	374.3	86.7
05/16/10 01:00:00	100	984.3	287.5	0.1	374.6	88.4
05/16/10 01:00:00	500	937.6	287.5	0.1	376.7	79.8
05/16/10 02:00:00	10	994.7	288	0.1	379.5	89.3
05/16/10 02:00:00	100	984.1	286.7	0.1	379.9	90.9
05/16/10 02:00:00	500	937.1	286.9	0.1	381.3	77.8
05/16/10 03:00:00	10	994.8	287.1	0.1	384.2	91.8
05/16/10 03:00:00	100	983.9	285.9	0.1	384.3	93.5
05/16/10 03:00:00	500	936.6	286.4	0.1	384.5	75.7
05/16/10 04:00:00	10	995	286.7	0	360.7	93.2
05/16/10 04:00:00	100	984.1	285.6	0	360.2	94.9
05/16/10 04:00:00	500	936.8	286.4	0	358.7	79.3
05/16/10 05:00:00	10	995.3	286.5	0	331.2	94.3
05/16/10 05:00:00	100	984.4	285.4	0	330.6	96.1
05/16/10 05:00:00	500	937.1	286.4	0	327.6	84.1
05/16/10 06:00:00	10	995.6	286.3	0	301.3	95.5
05/16/10 06:00:00	100	984.6	285.3	0	301	97.3
05/16/10 06:00:00	500	937.4	286.5	0	297.1	89
05/16/10 07:00:00	10	995.5	286.3	0	296.9	95.8
05/16/10 07:00:00	100	984.5	285.3	0	296.1	97.5
05/16/10 07:00:00	500	937.5	286.4	0	290.8	89.8
05/16/10 08:00:00	10	995.2	286.4	0	297.7	95.9
05/16/10 08:00:00	100	984.2	285.4	0	296	97.5
05/16/10 08:00:00	500	937.5	286.3	0	289.5	89.6
05/16/10 09:00:00	10	994.9	286.6	0	298.4	96
05/16/10 09:00:00	100	983.9	285.5	0	296	97.5
05/16/10 09:00:00	500	937.5	286.1	0	288.2	89.5
05/16/10 10:00:00	10	994.6	286.4	0.1	322.3	96.6
05/16/10 10:00:00	100	983.5	285.4	0.1	321	97.9
05/16/10 10:00:00	500	936.9	285.6	0.1	315.7	90.4
05/16/10 11:00:00	10	994.3	286.2	0.1	351.1	97.3
05/16/10 11:00:00	100	983.2	285.3	0.1	350.6	98.3
05/16/10 11:00:00	500	936.4	285	0.1	348.1	91.7
05/16/10 12:00:00	10	994	286	0.1	380.1	98
05/16/10 12:00:00	100	982.8	285.2	0.1	380.1	98.7
05/16/10 12:00:00	500	935.9	284.4	0.1	379.7	93.1
05/16/10 13:00:00	10	993.9	287	0.1	384.9	96.5
05/16/10 13:00:00	100	982.7	285.8	0.1	384.9	97.8
05/16/10 13:00:00	500	935.6	284.8	0.1	384.9	89.5
05/16/10 14:00:00	10	993.8	288.1	0.1	384.9	94.7
05/16/10 14:00:00	100	982.6	286.7	0.1	384.9	96.5
05/16/10 14:00:00	500	935.4	285.3	0.1	384.9	84.9
05/16/10 15:00:00	10	993.7	289.2	0.1	384.9	92.8
05/16/10 15:00:00	100	982.4	287.5	0.1	384.9	95.1
05/16/10 15:00:00	500	935.2	285.9	0.1	384.9	80.2
05/16/10 16:00:00	10	994.1	290.2	0	446.5	90.5
05/16/10 16:00:00	100	983.4	288.3	0	447.7	93.1
05/16/10 16:00:00	500	936.3	286	0	450.2	83.5
05/16/10 17:00:00	10	994.7	291.1	0	518.2	88.3
05/16/10 17:00:00	100	984.5	289.1	0	520.9	90.9
05/16/10 17:00:00	500	937.5	286	0	526.2	87.9
05/16/10 18:00:00	10	995.2	292	0	587.5	86.1
05/16/10 18:00:00	100	985.5	289.9	0	591.7	88.8
05/16/10 18:00:00	500	938.7	286	0	599.8	91.9
05/16/10 19:00:00	10	995.2	292.5	0	598.4	81.4
05/16/10 19:00:00	100	985.6	290.4	0	602.1	83.7
05/16/10 19:00:00	500	938.4	286.4	0	611.2	86.7
05/16/10 20:00:00	10	995	293	0	597.6	76.3
05/16/10 20:00:00	100	985.5	290.9	0	600.6	78.2
05/16/10 20:00:00	500	938	286.8	0	610.2	79.8
05/16/10 21:00:00	10	994.9	293.5	0	596.7	71.3
05/16/10 21:00:00	100	985.4	291.3	0	599	72.7
05/16/10 21:00:00	500	937.7	287.2	0	609.1	73
05/16/10 22:00:00	10	994.9	292.4	0	596.7	75.1
05/16/10 22:00:00	100	985.4	290.5	0	599.4	76.6
05/16/10 22:00:00	500	937.8	286.7	0	610	78
05/16/10 23:00:00	10	995	291	0	596.6	80.6
05/16/10 23:00:00	100	985.5	289.3	0	599.9	82.3
05/16/10 23:00:00	500	937.9	285.9	0	611	85.2
05/17/10 00:00:00	10	995.1	289.6	0	596.6	86.2
05/17/10 00:00:00	100	985.5	288.2	0	600.4	88
05/17/10 00:00:00	500	938.1	285.2	0	612	92.5
05/17/10 01:00:00	10	994.8	288.8	0	555.4	88
05/17/10 01:00:00	100	985.1	287.5	0	557.9	89.9
05/17/10 01:00:00	500	937.4	284.9	0	565.3	92.1
05/17/10 02:00:00	10	994.4	288.1	0	505.3	89.1
05/17/10 02:00:00	100	984.5	286.9	0	505.6	91
05/17/10 02:00:00	500	936.6	284.6	0	507.4	90.2
05/17/10 03:00:00	10	994	287.4	0	454.6	90.3
05/17/10 03:00:00	100	984	286.3	0	452.3	92.2
05/17/10 03:00:00	500	935.9	284.4	0	447.8	88.2
05/17/10 04:00:00	10	994.2	287.1	0	428.8	90.2
05/17/10 04:00:00	100	983.9	286.1	0	427.1	92.2
05/17/10 04:00:00	500	935.9	284.3	0	420.8	89.5
05/17/10 05:00:00	10	994.6	286.8	0	408.3	89.9
05/17/10 05:00:00	100	984	286	0	407.7	91.9
05/17/10 05:00:00	500	936.1	284.3	0	402.8	91.4
05/17/10 06:00:00	10	994.9	286.6	0	388.2	89.5
05/17/10 06:00:00	100	984.1	285.9	0	388.2	91.7
05/17/10 06:00:00	500	936.2	284.3	0	387.3	93.1
05/17/10 07:00:00	10	994.5	286.6	0	407.6	90.2
05/17/10 07:00:00	100	983.6	285.8	0	406.5	92.6
05/17/10 07:00:00	500	936	284	0	399	94
05/17/10 08:00:00	10	994.1	286.6	0	434.2	91.1
05/17/10 08:00:00	100	983	285.6	0	432	93.8
05/17/10 08:00:00	500	935.7	283.6	0	419.1	94.8
05/17/10 09:00:00	10	993.6	286.6	0	460.3	92.1
05/17/10 09:00:00	100	982.5	285.5	0	457.2	95
05/17/10 09:00:00	500	935.4	283.2	0	442.5	95.6
05/17/10 10:00:00	10	993.6	286.6	0	510.5	90.8
05/17/10 10:00:00	100	982.5	285.6	0	508.8	93.1
05/17/10 10:00:00	500	935.6	283	0	498.9	94.9
05/17/10 11:00:00	10	993.8	286.6	0	565.6	89.1
05/17/10 11:00:00	100	982.7	285.6	0	565	90.7
