ID	Start	End	Group
VX0021	10/21/08 12:03:00	10/21/08 17:32:00	low
VX0022	10/21/08 23:33:00	10/22/08 10:30:00	low
VX0024	10/22/08 11:40:00	10/22/08 21:54:00	high
VX0025	10/22/08 23:51:00	10/23/08 11:16:00	high
VX0026	10/23/08 12:28:00	10/24/08 11:09:00	high
VX0030	10/24/08 12:17:00	10/24/08 23:30:00	high
VX0032	10/25/08 11:58:00	10/25/08 22:01:00	high
VX0034	10/27/08 00:24:00	10/28/08 11:06:00	low
VX0035	10/28/08 12:23:00	10/29/08 11:02:00	high
VX0037	10/29/08 12:11:00	10/30/08 11:07:00	high
VX0040	10/30/08 12:31:00	10/31/08 11:02:00	low
VX0042	10/31/08 12:20:00	11/01/08 11:08:00	high
VX0044	11/01/08 12:17:00	11/02/08 11:00:00	low
VX0046	11/02/08 13:42:00	11/03/08 09:07:00	low
VX0052	11/10/08 12:46:00	11/10/08 21:58:00	high
VX0054	11/11/08 11:19:00	11/11/08 22:17:00	high
VX0058	11/12/08 09:56:00	11/13/08 02:01:00	low
VX0059	11/13/08 12:08:00	11/14/08 11:00:00	low
VX0062	11/14/08 11:31:00	11/15/08 13:58:00	high
VX0066	11/16/08 11:52:00	11/17/08 17:02:00	low
VX0068	11/18/08 00:20:00	11/18/08 14:09:00	high
VX0069	11/18/08 23:34:00	11/19/08 10:37:00	high
VX0072	11/19/08 21:58:00	11/20/08 21:11:00	low
VX0074	11/20/08 23:31:00	11/21/08 21:58:00	low
VX0075	11/21/08 23:36:00	11/22/08 20:22:00	high
VX0078	11/22/08 22:11:00	11/23/08 20:39:00	low
VX0079	11/23/08 22:20:00	11/24/08 20:31:00	high
VX0082	11/24/08 22:03:00	11/25/08 20:44:00	high
VX0083	11/25/08 22:13:00	11/26/08 22:08:00	low
VX0089	11/27/08 16:29:00	11/28/08 20:54:00	high
VX0091	11/28/08 23:52:00	11/29/08 21:02:00	low
